"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Nov 14 11:23:30 GMT 2022","Mon Nov 14 11:23:30 GMT 2022","21","firefox","download.spec.ts","Download page testing","","","ID 3 - Open the Latest source code in github on the download page",""
"failed","Mon Nov 14 11:23:18 GMT 2022","Mon Nov 14 11:23:18 GMT 2022","23","chromium","download.spec.ts","Download page testing","","","ID 3 - Open the Latest source code in github on the download page",""
"failed","Mon Nov 14 11:23:44 GMT 2022","Mon Nov 14 11:23:44 GMT 2022","18","webkit","issues.spec.ts","Issues page testing","","","ID 5 - Open the list of all closed issues on the issues page",""
"failed","Mon Nov 14 11:23:39 GMT 2022","Mon Nov 14 11:23:39 GMT 2022","18","firefox","search.spec.ts","Search testing","","","ID 2 - Find tasks for any defect using search",""
"failed","Mon Nov 14 11:23:51 GMT 2022","Mon Nov 14 11:23:51 GMT 2022","22","webkit","search.spec.ts","Search testing","","","ID 2 - Find tasks for any defect using search",""
"failed","Mon Nov 14 11:23:27 GMT 2022","Mon Nov 14 11:23:27 GMT 2022","20","chromium","search.spec.ts","Search testing","","","ID 2 - Find tasks for any defect using search",""
"failed","Mon Nov 14 11:23:34 GMT 2022","Mon Nov 14 11:23:34 GMT 2022","22","firefox","registration.spec.ts","Registration page testing","","","ID 1 - Registering a new user with a required field",""
"failed","Mon Nov 14 11:23:20 GMT 2022","Mon Nov 14 11:23:20 GMT 2022","21","chromium","issues.spec.ts","Issues page testing","","","ID 5 - Open the list of all closed issues on the issues page",""
"failed","Mon Nov 14 11:23:46 GMT 2022","Mon Nov 14 11:23:46 GMT 2022","21","webkit","registration.spec.ts","Registration page testing","","","ID 1 - Registering a new user with a required field",""
"failed","Mon Nov 14 11:23:49 GMT 2022","Mon Nov 14 11:23:49 GMT 2022","19","webkit","roadmap.spec.ts","Roadmap page testing","","","ID 4 - Open the path task list on the roadmap page",""
"failed","Mon Nov 14 11:23:32 GMT 2022","Mon Nov 14 11:23:32 GMT 2022","24","firefox","issues.spec.ts","Issues page testing","","","ID 5 - Open the list of all closed issues on the issues page",""
"failed","Mon Nov 14 11:23:25 GMT 2022","Mon Nov 14 11:23:25 GMT 2022","20","chromium","roadmap.spec.ts","Roadmap page testing","","","ID 4 - Open the path task list on the roadmap page",""
"failed","Mon Nov 14 11:23:22 GMT 2022","Mon Nov 14 11:23:22 GMT 2022","18","chromium","registration.spec.ts","Registration page testing","","","ID 1 - Registering a new user with a required field",""
"failed","Mon Nov 14 11:23:41 GMT 2022","Mon Nov 14 11:23:41 GMT 2022","18","webkit","download.spec.ts","Download page testing","","","ID 3 - Open the Latest source code in github on the download page",""
"failed","Mon Nov 14 11:23:37 GMT 2022","Mon Nov 14 11:23:37 GMT 2022","20","firefox","roadmap.spec.ts","Roadmap page testing","","","ID 4 - Open the path task list on the roadmap page",""
